Year,Adj 1,Adj 2,Adj 3,Adj 4,Adj 5,Adj 6,Merged_Column
2012,confident,,,,,,confident
2012,young,,,,,,young
2012,popular,,,,,,popular
2012,traditional, shy, Ideal, Indian, decent,,"traditional, shy, Ideal, Indian, decent"
2012,spirited, free,,,,,"spirited, free"
2012,dead,,,,,,dead
2012,female,,,,,,female
2012,overbearing,,,,,,overbearing
2012,housemaid,,,,,,housemaid
2012,cherubic,,,,,,cherubic
2012,small,,,,,,small
2012,veteran, renowned,,,,,"veteran, renowned"
2012,eccentric,,,,,,eccentric
2012,popular,,,,,,popular
2012,happy,,,,,,happy
2012,secret,,,,,,secret
2012,beautiful, young,,,,,"beautiful, young"
2011,late,,,,,,late
2011,fraternal, twin,,,,,"fraternal, twin"
2011,assistant, personal,,,,,"assistant, personal"
2011,biological,,,,,,biological
2011,sceptical, sudden,,,,,"sceptical, sudden"
2011,single,,,,,,single
2011,Chinese,,,,,,Chinese
2011,white, unknown,,,,,"white, unknown"
2011,nanny,,,,,,nanny
2011,late,,,,,,late
2011,young,,,,,,young
2011,handicapped,,,,,,handicapped
